Date,Open,High,Low,Close,Adj Close,Volume
2016-05-26,14127.000000,14143.500000,14049.000000,14049.200195,14049.200195,205325900
2016-05-27,14050.500000,14130.900391,14045.599609,14105.200195,14105.200195,178296600
2016-05-30,14119.599609,14124.000000,14068.900391,14086.700195,14086.700195,69147900
2016-05-31,14099.700195,14172.400391,14063.299805,14065.799805,14065.799805,350396100
2016-06-01,14017.000000,14066.000000,13959.599609,14063.500000,14063.500000,197727200
2016-06-02,14055.799805,14147.599609,14017.099609,14137.000000,14137.000000,159506200
2016-06-03,14154.000000,14240.299805,14128.200195,14226.799805,14226.799805,225080700
2016-06-06,14261.200195,14297.500000,14236.700195,14276.200195,14276.200195,221587400
2016-06-07,14272.099609,14365.599609,14272.099609,14365.599609,14365.599609,231774800
2016-06-08,14411.599609,14450.900391,14289.700195,14313.099609,14313.099609,273079700
2016-06-09,14270.500000,14270.500000,14203.400391,14240.000000,14240.000000,204015500
2016-06-10,14214.799805,14214.799805,14003.700195,14037.500000,14037.500000,206939200
2016-06-13,14035.400391,14078.599609,13958.799805,13993.900391,13993.900391,230786000
2016-06-14,13981.599609,14000.000000,13855.500000,13884.200195,13884.200195,212739400
2016-06-15,13883.900391,13987.599609,13883.900391,13923.500000,13923.500000,233766100
2016-06-16,13907.900391,13907.900391,13814.200195,13882.400391,13882.400391,252326100
2016-06-17,13894.900391,13957.200195,13892.000000,13901.799805,13901.799805,587674500
2016-06-20,13915.299805,14059.400391,13915.299805,14015.099609,14015.099609,192086300
2016-06-21,14007.000000,14049.200195,13956.900391,14012.299805,14012.299805,162875900
2016-06-22,14037.700195,14066.599609,13981.799805,14003.799805,14003.799805,193981600
2016-06-23,14071.500000,14150.400391,14071.500000,14131.400391,14131.400391,179671800
2016-06-24,14020.500000,14020.500000,13790.700195,13891.900391,13891.900391,278507800
2016-06-27,13856.900391,13856.900391,13609.599609,13689.799805,13689.799805,285929200
2016-06-28,13745.599609,13869.200195,13745.599609,13842.700195,13842.700195,222712600
2016-06-29,13928.700195,14058.000000,13928.700195,14036.700195,14036.700195,235539800
2016-06-30,14056.200195,14106.799805,13967.599609,14064.500000,14064.500000,246966800
2016-07-04,14200.099609,14291.599609,14200.099609,14258.900391,14258.900391,116770200
2016-07-05,14243.799805,14249.900391,14147.200195,14219.599609,14219.599609,221271900
2016-07-06,14196.099609,14233.900391,14080.200195,14231.099609,14231.099609,251669000
